game_state_id;game_id;time_elapsed;score;lives;pacman_attack;Pacman_X;Pacman_Y;Ghost1_X;Ghost1_Y;Ghost2_X;Ghost2_Y;Ghost3_X;Ghost3_Y;Ghost4_X;Ghost4_Y;ghost1_state;ghost2_state;ghost3_state;ghost4_state;powerPellets;pellets;powerpelletstate_1;powerpelletstate_2;powerpelletstate_3;powerpelletstate_4
418;4;9.500020027160645;190;3;0;-12.495001792908;-6.5049991607666;-10.833026885986;-6.4994411468506;0;0.99805295467377;10.85050201416;8.5004081726074;2;-1.2378467321396;2;1;2;0;4;225;0;0;0;0
419;4;9.5993070602417;190;3;0;-12.495001792908;-6.5049991607666;-11.522782325745;-6.49937915802;0;1.2964618206024;10.150500297546;8.5005397796631;2;-0.53784680366516;2;1;2;0;4;225;0;0;0;0
420;4;9.699416160583496;190;2;0;-12.498702049255;-6.5050358772278;-12.059979438782;-6.5033369064331;0;1.5966374874115;9.4520444869995;8.5005731582642;2;0.16215316951275;2;1;2;0;4;225;0;0;0;0
421;4;9.797965049743652;190;2;0;-12.498702049255;-6.5050358772278;-12.47998046875;-6.7889456748962;0;1.8930077552795;8.7662000656128;8.5007333755493;2;0.37784671783447;2;1;2;0;4;225;0;0;0;0
422;4;9.898627281188965;190;2;0;-12.498702049255;-6.5050358772278;-12.501611709595;-7.4845290184021;0;2.1948237419128;8.066198348999;8.5005750656128;2;-0.3221532702446;2;1;2;0;4;225;0;0;0;0
423;4;9.999600410461426;190;2;0;-12.498702049255;-6.5050358772278;-12.499918937683;-8.0555868148804;0;2.497175693512;7.366199016571;8.5005683898926;2;-1.0221532583237;2;1;2;0;4;225;0;0;0;0
424;4;10.097994804382324;190;2;0;-12.498702049255;-6.5050358772278;-12.498866081238;-8.7620286941528;0.69999998807907;2.5003769397736;6.7985038757324;8.5022773742676;2;-1.5178467035294;2;1;2;0;4;225;0;0;0;0
425;4;10.199822425842285;190;2;0;-12.498702049255;-6.5050358772278;-12.499382019043;-8.0620269775391;1.3981472253799;2.5029144287109;6.0985045433044;8.5007400512695;2;-0.81784677505493;2;1;2;0;4;225;0;0;0;0
426;4;10.29902172088623;190;2;0;-12.498702049255;-6.5050358772278;-12.500720977783;-7.3799061775208;1.5058209896088;3.1494183540344;5.4339790344238;8.5000772476196;2;-0.11784683167934;2;1;2;0;4;225;0;0;0;0
427;4;10.398943901062012;190;2;0;-12.498702049255;-6.5050358772278;-12.497361183167;-6.7188854217529;1.5009174346924;3.8494188785553;4.7349047660828;8.4984464645386;2;0.58215314149857;2;1;2;0;4;225;0;0;0;0
